Date,Day,Week,Phase,Session Type,Session Detail,Duration,Distance,Vert (m),Intensity,Notes
"Jan 12, 2026",Monday,1,Rehab & Base,Easy Run,Flat forest paths. Conversational pace throughout. Walk breaks welcome.,28 min,4.0 km,,Easy (Z1-2),"Week 1: Establish baseline, prove consistency"
"Jan 13, 2026",Tuesday,1,Rehab & Base,Strength A,"TENDON FOCUS: Spanish squat 3x45s, Slow eccentric step-down 3x10/leg (4s down). Back squat 4x6, RDL 3x8, calf raise 3x12, Copenhagen plank 2x25s",60 min,,,Moderate,
"Jan 14, 2026",Wednesday,1,Rehab & Base,Easy Run,Forest trails. Flat to gentle. Building the habit.,35 min,5.0 km,,Easy (Z2),
"Jan 15, 2026",Thursday,1,Rehab & Base,Strength B,"Bench 4x6, Row 3x8, OHP 3x8, Pull-ups 3xmax, single-leg calf (slow) 2x10/leg, farmer carry 2x40m",60 min,,,Moderate,
"Jan 16, 2026",Friday,1,Rehab & Base,Cross-Train,"Bike, row, or incline treadmill walk (10-12% grade). Build aerobic base without impact.",45-60 min,,,Easy (Z2),
"Jan 17, 2026",Saturday,1,Rehab & Base,Long Run,"Forest trails, flat to gentle. Conversational throughout. Practice eating/drinking.",45 min,6 km,,Easy (Z1-2),
"Jan 18, 2026",Sunday,1,Rehab & Base,Rest,Complete rest.,-,-,,-,
"Jan 19, 2026",Monday,2,Rehab & Base,Easy Run,Flat forest paths. Conversational pace throughout. Walk breaks welcome.,31 min,4.5 km,,Easy (Z1-2),
"Jan 20, 2026",Tuesday,2,Rehab & Base,Strength A,"TENDON FOCUS: Spanish squat 3x45s, Slow eccentric step-down 3x10/leg (4s down). Back squat 4x6, RDL 3x8, calf raise 3x12, Copenhagen plank 2x25s",60 min,,,Moderate,
"Jan 21, 2026",Wednesday,2,Rehab & Base,Easy Run,Forest trails. Flat to gentle. Building the habit.,38 min,5.5 km,,Easy (Z2),
"Jan 22, 2026",Thursday,2,Rehab & Base,Strength B,"Bench 4x6, Row 3x8, OHP 3x8, Pull-ups 3xmax, single-leg calf (slow) 2x10/leg, farmer carry 2x40m",60 min,,,Moderate,
"Jan 23, 2026",Friday,2,Rehab & Base,Cross-Train,"Bike, row, or incline treadmill walk (10-12% grade). Build aerobic base without impact.",45-60 min,,,Easy (Z2),
"Jan 24, 2026",Saturday,2,Rehab & Base,Long Run,"Forest trails, flat to gentle. Conversational throughout. Practice eating/drinking.",52 min,7 km,,Easy (Z1-2),
"Jan 25, 2026",Sunday,2,Rehab & Base,Rest,Complete rest.,-,-,,-,
"Jan 26, 2026",Monday,3,Rehab & Base,Easy Run,Flat forest paths. Conversational pace throughout. Walk breaks welcome.,35 min,5.0 km,,Easy (Z1-2),
"Jan 27, 2026",Tuesday,3,Rehab & Base,Strength A,"TENDON FOCUS: Spanish squat 3x45s, Slow eccentric step-down 3x10/leg (4s down). Back squat 4x6, RDL 3x8, calf raise 3x12, Copenhagen plank 2x25s",60 min,,,Moderate,
"Jan 28, 2026",Wednesday,3,Rehab & Base,Easy Run,Forest trails. Flat to gentle. Building the habit.,42 min,6.1 km,,Easy (Z2),
"Jan 29, 2026",Thursday,3,Rehab & Base,Strength B,"Bench 4x6, Row 3x8, OHP 3x8, Pull-ups 3xmax, single-leg calf (slow) 2x10/leg, farmer carry 2x40m",60 min,,,Moderate,
"Jan 30, 2026",Friday,3,Rehab & Base,Cross-Train,"Bike, row, or incline treadmill walk (10-12% grade). Build aerobic base without impact.",45-60 min,,,Easy (Z2),
"Jan 31, 2026",Saturday,3,Rehab & Base,Long Run,"Forest trails, flat to gentle. Conversational throughout. Practice eating/drinking.",60 min,8 km,,Easy (Z1-2),
"Feb 01, 2026",Sunday,3,Rehab & Base,Rest,Complete rest.,-,-,,-,
"Feb 02, 2026",Monday,4,Rehab & Base,Easy Run,Flat forest paths. Conversational pace throughout. Walk breaks welcome.,28 min,4.0 km,,Easy (Z1-2),DOWN WEEK
"Feb 03, 2026",Tuesday,4,Rehab & Base,Strength A,"TENDON FOCUS: Spanish squat 3x45s, Slow eccentric step-down 3x10/leg (4s down). Back squat 4x6, RDL 3x8, calf raise 3x12, Copenhagen plank 2x25s",60 min,,,Moderate,
"Feb 04, 2026",Wednesday,4,Rehab & Base,Easy Run,Forest trails. Flat to gentle. Building the habit.,35 min,5.0 km,,Easy (Z2),
"Feb 05, 2026",Thursday,4,Rehab & Base,Strength B,"Bench 4x6, Row 3x8, OHP 3x8, Pull-ups 3xmax, single-leg calf (slow) 2x10/leg, farmer carry 2x40m",60 min,,,Moderate,
"Feb 06, 2026",Friday,4,Rehab & Base,Cross-Train,"Bike, row, or incline treadmill walk (10-12% grade). Build aerobic base without impact.",45-60 min,,,Easy (Z2),
"Feb 07, 2026",Saturday,4,Rehab & Base,Long Run,"Forest trails, flat to gentle. Conversational throughout. Practice eating/drinking.",37 min,5 km,,Easy (Z1-2),
"Feb 08, 2026",Sunday,4,Rehab & Base,Rest,Complete rest.,-,-,,-,
"Feb 09, 2026",Monday,5,Rehab & Base,Easy Run,Flat forest paths. Conversational pace throughout. Walk breaks welcome.,41 min,5.9 km,,Easy (Z1-2),
"Feb 10, 2026",Tuesday,5,Rehab & Base,Strength A,"TENDON FOCUS: Spanish squat 3x45s, Slow eccentric step-down 3x10/leg (4s down). Back squat 4x6, RDL 3x8, calf raise 3x12, Copenhagen plank 2x25s",60 min,,,Moderate,
"Feb 11, 2026",Wednesday,5,Rehab & Base,Easy Run,Forest trails. Flat to gentle. Building the habit.,50 min,7.2 km,,Easy (Z2),
"Feb 12, 2026",Thursday,5,Rehab & Base,Strength B,"Bench 4x6, Row 3x8, OHP 3x8, Pull-ups 3xmax, single-leg calf (slow) 2x10/leg, farmer carry 2x40m",60 min,,,Moderate,
"Feb 13, 2026",Friday,5,Rehab & Base,Cross-Train,"Bike, row, or incline treadmill walk (10-12% grade). Build aerobic base without impact.",45-60 min,,,Easy (Z2),
"Feb 14, 2026",Saturday,5,Rehab & Base,Long Run,"Forest trails, flat to gentle. Conversational throughout. Practice eating/drinking.",60 min,8 km,,Easy (Z1-2),
"Feb 15, 2026",Sunday,5,Rehab & Base,Rest,Complete rest.,-,-,,-,
"Feb 16, 2026",Monday,6,Rehab & Base,Easy Run,Flat forest paths. Conversational pace throughout. Walk breaks welcome.,44 min,6.3 km,,Easy (Z1-2),
"Feb 17, 2026",Tuesday,6,Rehab & Base,Strength A,"TENDON FOCUS: Spanish squat 3x45s, Slow eccentric step-down 3x10/leg (4s down). Back squat 4x6, RDL 3x8, calf raise 3x12, Copenhagen plank 2x25s",60 min,,,Moderate,
"Feb 18, 2026",Wednesday,6,Rehab & Base,Easy Run,Forest trails. Flat to gentle. Building the habit.,53 min,7.7 km,,Easy (Z2),
"Feb 19, 2026",Thursday,6,Rehab & Base,Strength B,"Bench 4x6, Row 3x8, OHP 3x8, Pull-ups 3xmax, single-leg calf (slow) 2x10/leg, farmer carry 2x40m",60 min,,,Moderate,
"Feb 20, 2026",Friday,6,Rehab & Base,Cross-Train,"Bike, row, or incline treadmill walk (10-12% grade). Build aerobic base without impact.",45-60 min,,,Easy (Z2),
"Feb 21, 2026",Saturday,6,Rehab & Base,Long Run,"Forest trails, flat to gentle. Conversational throughout. Practice eating/drinking.",67 min,9 km,,Easy (Z1-2),
"Feb 22, 2026",Sunday,6,Rehab & Base,Rest,Complete rest.,-,-,,-,
"Feb 23, 2026",Monday,7,Rehab & Base,Easy Run,Flat forest paths. Conversational pace throughout. Walk breaks welcome.,47 min,6.8 km,,Easy (Z1-2),Phase 1 complete — knee checkpoint
"Feb 24, 2026",Tuesday,7,Rehab & Base,Strength A,"TENDON FOCUS: Spanish squat 3x45s, Slow eccentric step-down 3x10/leg (4s down). Back squat 4x6, RDL 3x8, calf raise 3x12, Copenhagen plank 2x25s",60 min,,,Moderate,
"Feb 25, 2026",Wednesday,7,Rehab & Base,Easy Run,Forest trails. Flat to gentle. Building the habit.,57 min,8.2 km,,Easy (Z2),
"Feb 26, 2026",Thursday,7,Rehab & Base,Strength B,"Bench 4x6, Row 3x8, OHP 3x8, Pull-ups 3xmax, single-leg calf (slow) 2x10/leg, farmer carry 2x40m",60 min,,,Moderate,
"Feb 27, 2026",Friday,7,Rehab & Base,Cross-Train,"Bike, row, or incline treadmill walk (10-12% grade). Build aerobic base without impact.",45-60 min,,,Easy (Z2),
"Feb 28, 2026",Saturday,7,Rehab & Base,Long Run,"Forest trails, flat to gentle. Conversational throughout. Practice eating/drinking.",75 min,10 km,,Easy (Z1-2),
"Mar 01, 2026",Sunday,7,Rehab & Base,Rest,Complete rest.,-,-,,-,
