Date,Content,Video title,Video publish time,Duration,Engaged views
2026-04-01,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3298,0
2026-04-02,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3298,1
2026-04-03,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3298,3
2026-04-04,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3298,1
2026-04-05,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3298,5
2026-04-06,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3298,3
2026-04-07,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3298,0
2026-04-08,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3298,1
2026-04-09,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3298,2
2026-04-10,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3298,1
2026-04-11,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3298,1
2026-04-12,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3298,3
2026-04-13,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3298,2
2026-04-14,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3298,0
2026-04-15,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3298,3
2026-04-16,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3298,2
2026-04-17,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3298,1
2026-04-18,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3298,1
2026-04-19,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3298,3
2026-04-20,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3298,0
2026-04-21,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3298,1
2026-04-22,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3298,1
2026-04-23,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3298,0
2026-04-24,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3298,0
2026-04-25,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3298,1
2026-04-26,3dlvmkbAH9c,The Only 3 Skills You Need to Survive Until 2030 | World of Work Expert,"Jan 8, 2026",3298,1
