"Week","W/C","Date","Day","Channel","Series","Title","Format","Source","Status","Notes","Caption"
"1","w/c 15 June","15","Mon","@creepersnursery","The Working Nursery","New Forest from the air","Reel","Banked — New Forest","posted","Drone reel from the June bank: rows of field stock from above, one slow pass. Caption names what's growing in each block.",""
"1","w/c 15 June","16","Tue","@creepersinstallation","Detail & Texture","Surrey stock, up close","Carousel","Banked — Surrey","posted","Photo carousel from the Surrey bank: bark, buds, foliage on six specimens, plant name on each slide.",""
"1","w/c 15 June","17","Wed","@creepersnursery","Stock & Season","Fresh In #1 — what's ready this week","Reel","Shoot S1 + Live stock","posted","Shot at S1: walk the beds with Michael, 3-5 plants genuinely ready, name, size and rough count on screen. Caption: ring the office.",""
"1","w/c 15 June","19","Fri","@creepersnursery","The Working Nursery","Order out #1","Reel","Shoot S1","posted","One real order leaving: plants pulled, trolleyed, strapped, gone. The 11 May trolleys reel was the page's best performer; this is that format, made repeatable.",""
"2","w/c 22 June","22","Mon","@creepersnursery","Monday Minute","Monday Minute: how to know a specimen is ready","Reel","Bank — S1","posted","Michael at the bench, 45 seconds, banked at S1. The three signs on screen: new growth, root-ball density, frame balance. For designers who ever opened a delivery and thought 'that's not what I quoted'.",""
"2","w/c 22 June","23","Tue","@creepersinstallation","The Install","Root ball and crane","Reel","Banked — Surrey","posted","From the Surrey bank: a big root ball, the lift, the set-down. Element only, nothing placeable.",""
"2","w/c 22 June","24","Wed","@creepersnursery","Stock & Season","Specimen spotlight: semi-mature multi-stem","Photo carousel","Bank — S1","posted","Photo carousel of one specimen shot at S1: full plant, trunk detail, a person in frame for scale. Size and rough count in the caption.",""
"2","w/c 22 June","26","Fri","@creepersnursery","Proof & Provenance","The stock behind the medals","Carousel","Banked — Chelsea + Live stock","posted","Carousel: three Chelsea garden shots, then the same species lines standing in the nursery today. Caption names each plant and ends on this week's availability list.",""
"3","w/c 29 June","29","Mon","@creepersnursery","Monday Minute","Monday Minute: keeping stock alive in heat","Reel","Bank — S1","posted","Michael, 60 seconds, banked at S1: how they water semi-mature stock in a hot week and what to check on your own site.",""
"3","w/c 29 June","30","Tue","@creepersinstallation","The Install","Potting on","Reel","Shoot S2","held","Held — did not run on the day. The potting-bench clip is banked from S2 and slots into a later install week.",""
"3","w/c 29 June","1 Jul","Wed","@creepersnursery","Stock & Season","Fresh In #2","Reel","Shoot S2 + Live stock","posted","Day-after cut from S2, same format as #1: 3-5 ready lines, names and counts on screen.",""
